source;destination;local_departure_time;local_arrival_time
OLB;FCO;2016-07-24 13:00:00;2016-07-24 13:55:00
AMS;BHX;2016-08-15 16:35:00;2016-08-15 16:50:00
DEL;RPR;2017-01-20 08:45:00;2017-01-20 10:35:00
YLW;YYC;2016-11-04 20:00:00;2016-11-04 21:59:00
RTM;MUC;2016-09-23 20:05:00;2016-09-23 21:35:00
HAN;REP;2016-11-05 17:10:00;2016-11-05 18:50:00
PTY;SDQ;2016-06-02 07:44:00;2016-06-02 11:17:00
KRR;CEE;2016-07-03 12:55:00;2016-07-03 15:40:00
MPL;CDG;2016-12-17 13:20:00;2016-12-17 14:50:00
MNL;LAO;2017-06-24 19:00:00;2017-06-24 20:00:00
SUB;UPG;2016-10-13 00:15:00;2016-10-13 02:45:00
PEK;DLC;2016-10-06 20:10:00;2016-10-06 21:35:00
SDK;KUL;2016-11-30 09:40:00;2016-11-30 12:25:00
EBB;NBO;2017-01-13 17:35:00;2017-01-13 18:45:00
BCN;MXP;2016-11-15 18:40:00;2016-11-15 20:15:00
YVR;YYJ;2016-05-13 11:15:00;2016-05-13 11:39:00
OBO;HND;2016-12-03 15:55:00;2016-12-03 17:40:00
HKT;ICN;2016-11-20 01:50:00;2016-11-20 09:55:00
BKK;HKG;2016-11-03 04:00:00;2016-11-03 08:00:00
XIY;URC;2016-06-25 18:55:00;2016-06-25 22:35:00
CGR;MAO;2016-04-12 09:37:00;2016-04-12 15:00:00
LHR;HEL;2016-03-26 19:25:00;2016-03-27 00:20:00
LGW;PUJ;2016-04-01 12:05:00;2016-04-01 15:55:00
TNA;HKG;2016-04-01 08:00:00;2016-04-01 10:50:00
CSX;BKK;2016-03-11 19:30:00;2016-03-11 21:55:00
BLR;IDR;2016-04-24 06:05:00;2016-04-24 09:15:00
BOD;ORY;2016-04-04 20:20:00;2016-04-04 21:30:00
BIQ;ORY;2016-05-18 09:15:00;2016-05-18 10:35:00
BOM;DEL;2016-05-13 09:30:00;2016-05-13 11:40:00
MPL;CDG;2016-12-17 14:50:00;2016-12-17 16:20:00
OLB;VIE;2016-07-23 18:40:00;2016-07-23 20:20:00
MXP;HOG;2016-07-28 09:00:00;2016-07-28 17:10:00
IXC;DEL;2016-09-25 17:20:00;2016-09-25 18:25:00
FAO;DUB;2016-07-23 06:25:00;2016-07-23 09:20:00
BKS;CGK;2017-03-16 14:15:00;2017-03-16 15:35:00
SUB;SRG;2016-07-08 14:30:00;2016-07-08 15:40:00
IST;ECN;2016-09-30 15:35:00;2016-09-30 17:05:00
VIE;MSQ;2016-11-04 09:50:00;2016-11-04 13:45:00
CMN;LFW;2016-07-09 00:10:00;2016-07-09 03:35:00
DEL;RPR;2017-01-20 12:35:00;2017-01-20 14:15:00
BLR;PNQ;2016-11-29 16:45:00;2016-11-29 18:05:00
LPB;CBB;2017-08-06 11:30:00;2017-08-06 12:05:00
KMG;SZX;2016-09-23 10:20:00;2016-09-23 12:25:00
MAN;BHD;2016-10-08 12:00:00;2016-10-08 13:00:00
SOU;GCI;2017-02-13 14:40:00;2017-02-13 15:25:00
AKL;DUD;2017-06-24 12:25:00;2017-06-24 14:15:00
CAN;SYD;2016-07-19 21:05:00;2016-07-20 08:25:00
RGN;SIN;2016-12-02 14:20:00;2016-12-02 18:50:00
SAW;CKZ;2016-07-11 23:30:00;2016-07-12 22:20:00
RGN;SIN;2016-12-02 10:25:00;2016-12-02 15:10:00
BKI;BWN;2016-08-20 08:50:00;2016-08-20 09:30:00
BJV;SAW;2016-06-23 20:00:00;2016-06-23 21:15:00
WUH;URC;2016-08-08 11:25:00;2016-08-08 16:00:00
SCL;ANF;2016-05-23 19:00:00;2016-05-23 21:00:00
